text,label,cleaned_text
Breaking: The moon is actually made of Swiss cheese.,1,breaking moon actually made swiss cheese
Aliens land in New York City and demand pizza.,1,aliens land new york city demand pizza
Government secretly replaces all birds with surveillance drones.,1,government secretly replaces birds surveillance drones
New clinical trials show promising results for a malaria vaccine.,0,new clinical trials show promising results malaria vaccine
Local community garden wins award for sustainable urban farming.,0,local community garden wins award sustainable urban farming
The global economy shows signs of recovery after the recent downturn.,0,global economy shows signs recovery recent downturn
Aliens land in New York City and demand pizza.,1,aliens land new york city demand pizza
NASA launches its most powerful telescope to study distant galaxies.,0,nasa launches powerful telescope study distant galaxies
Aliens land in New York City and demand pizza.,1,aliens land new york city demand pizza
Scientists discover that eating chocolate makes you invisible.,1,scientists discover eating chocolate makes invisible
Government secretly replaces all birds with surveillance drones.,1,government secretly replaces birds surveillance drones
Breaking: The moon is actually made of Swiss cheese.,1,breaking moon actually made swiss cheese
New clinical trials show promising results for a malaria vaccine.,0,new clinical trials show promising results malaria vaccine
Local community garden wins award for sustainable urban farming.,0,local community garden wins award sustainable urban farming
Government secretly replaces all birds with surveillance drones.,1,government secretly replaces birds surveillance drones
Tech giant announces new environmental initiative to reduce carbon footprint.,0,tech giant announces new environmental initiative reduce carbon footprint
Breaking: The moon is actually made of Swiss cheese.,1,breaking moon actually made swiss cheese
Scientists discover that eating chocolate makes you invisible.,1,scientists discover eating chocolate makes invisible
New clinical trials show promising results for a malaria vaccine.,0,new clinical trials show promising results malaria vaccine
New law requires citizens to walk backwards on Tuesdays.,1,new law requires citizens walk backwards tuesdays
The global economy shows signs of recovery after the recent downturn.,0,global economy shows signs recovery recent downturn
Government secretly replaces all birds with surveillance drones.,1,government secretly replaces birds surveillance drones
Tech giant announces new environmental initiative to reduce carbon footprint.,0,tech giant announces new environmental initiative reduce carbon footprint
Local community garden wins award for sustainable urban farming.,0,local community garden wins award sustainable urban farming
Government secretly replaces all birds with surveillance drones.,1,government secretly replaces birds surveillance drones
Breaking: The moon is actually made of Swiss cheese.,1,breaking moon actually made swiss cheese
Government secretly replaces all birds with surveillance drones.,1,government secretly replaces birds surveillance drones
New law requires citizens to walk backwards on Tuesdays.,1,new law requires citizens walk backwards tuesdays
